BirdID	Cohort	CaptureDate	CaptureTime	Year	Tarsus	Bill	Wing	Mass	Sex	Sex
4217	2000	26-Jun-01	NA	2001	19.5	NA	77	27.5	0	female
4217	2000	11-Oct-01	NA	2001	18.89999962	NA	76	28.10000038	0	female
4217	2000	03-Jun-03	12:00	2003	20	13	77	28.25	0	female
4229	2000	23-Jun-03	07:00	2003	18	14	80	29	1	male
4229	2000	10-May-04	12:00	2004	18.70000076	13.39999962	81	30	1	male
4229	2000	24-Nov-04	17:00	2004	18.70000076	13.5	81	33.09999847	1	male
4230	2000	07-Oct-00	NA	2000	17.29999924	NA	77	28	1	male
4230	2000	08-Jul-01	NA	2001	17	NA	77	27.5	1	male
4230	2000	12-May-02	NA	2002	17.60000038	NA	78	26.89999962	1	male
4230	2000	29-Jun-03	14:00	2003	17.60000038	13	77	28.75	1	male
4230	2000	16-May-04	16:00	2004	17.70000076	12.80000019	78	28.89999962	1	male
4230	2000	08-Jul-04	20:40	2004	17.5	13.39999962	78	24.89999962	1	male
4230	2000	23-Nov-04	09:45	2004	17.39999962	13.19999981	78	25.39999962	1	male
4230	2000	12-Jun-05	13:00	2005	17.39999962	13.19999981	79	27.70000076	1	male
4230	2000	15-Nov-05	11:45	2005	17.60000038	13.19999981	79	28.79999924	1	male
4237	2000	02-Oct-00	NA	2000	17.79999924	NA	75	32.09999847	0	female
4237	2000	03-Oct-00	NA	2000	19	NA	75.5	29.15000057	0	female
4238	2000	03-Oct-00	NA	2000	18.60000038	NA	77	29.10000038	0	female
4247	2000	12-Aug-03	11:30	2003	16.79999924	13.80000019	76	24.5	1	male
4247	2000	28-Jun-04	19:00	2004	17	14.30000019	78	26	1	male
4250	2000	03-Oct-00	NA	2000	18.60000038	NA	76	28.10000038	1	male
4251	2000	05-Oct-00	NA	2000	18.39999962	NA	71	24.79999924	0	female
4254	2000	03-Oct-00	NA	2000	19.5	NA	80	32	1	male
4255	2000	02-Oct-00	NA	2000	19.5	NA	74	31.70000076	0	female
4255	2000	03-Oct-00	NA	2000	19.29999924	NA	76	30.29999924	0	female
4255	2000	12-Jun-01	NA	2001	19.29999924	NA	77	29.20000076	0	female
4259	2000	03-Oct-00	NA	2000	18.5	NA	73	28.60000038	1	male
4259	2000	04-Oct-00	NA	2000	18.5	NA	75	27.10000038	1	male
4260	2000	03-Oct-00	NA	2000	18.20000076	NA	72	28.10000038	0	female
4264	2000	13-Apr-01	NA	2001	18.60000038	NA	77	27	1	male
4264	2000	18-Jul-01	NA	2001	18.20000076	NA	75	26.20000076	1	male
4264	2000	19-May-04	09:30	2004	18.20000076	13.89999962	78	26.79999924	1	male
4264	2000	23-Jun-04	17:30	2004	18.29999924	13.80000019	78	29.10000038	1	male
4265	2000	03-Oct-00	NA	2000	18	NA	75	28	1	male
4265	2000	04-Jun-01	NA	2001	18.20000076	NA	77	25.79999924	1	male
4265	2000	20-Mar-02	NA	2002	17.79999924	NA	77	27.5	1	male
4265	2000	18-Jun-03	17:50	2003	18	12.89999962	76	27.25	1	male
4265	2000	11-Mar-04	13:55	2004	18.20000076	12.80000019	79	27.20000076	1	male
4265	2000	14-Jun-04	18:00	2004	18	12.5	77	27.79999924	1	male
4266	2000	03-Oct-00	NA	2000	19	NA	75	28.70000076	0	female
4267	2000	03-Oct-00	NA	2000	18.89999962	NA	76	30.60000038	0	female
