,rating,year,max_players,log.play.time,two.players,three.players,weight,mech.pca.1,mech.pca.2,mech.pca.3,log.owned,log.n.ratings
notre-dame,7.39505,2007,5,1.8750612633917,1.92655367231638,2.60526315789474,2.7619,-1.2899513483647,-0.214005584205617,0.808531986192972,3.98829134190749,4.00130093302042
space-hulk-third-edition,7.563,2009,2,1.77815125038364,2.8411214953271,0,2.7876,3.04857775891221,-1.22249412592518,-1.29409119827331,3.92179048565819,3.77195474896395
rococo,7.57467,2013,5,2.07918124604762,2,2.58108108108108,3.1122,-2.48452448719423,0.417466898989353,-1.02599762343448,3.77872992399611,3.67172808823956
year-dragon,7.41459,2007,5,2,1.67721518987342,2.18562874251497,3.1309,-0.763802012013039,0.673879936858499,0.15475288153248,3.85027855251804,3.92215432523106
risk-legacy,7.55956,2011,5,1.77815125038364,1.03030303030303,1.39705882352941,2.6048,0.691787037531207,1.41345059585534,-0.282565892042121,3.97991241033472,3.75035408876271
trickerion-legends-illusion,7.84458,2015,4,2.25527250510331,2.03571428571429,2.23333333333333,4.0265,-0.619845498333323,-2.18053045451075,0.769297837831475,3.73583833431707,3.43488812086732
glass-road,7.49054,2013,4,1.8750612633917,2.50847457627119,2.31632653061224,2.9683,-2.24692221471272,-2.10640833784526,-1.39157395492376,3.86457040685343,3.77829599108883
inis,7.81549,2016,4,1.95424250943932,2.15909090909091,2.30769230769231,3,-0.781964842763093,-2.05471963328264,-1.12156000716356,3.69010743945633,3.5066403055665
champions-midgard,7.70707,2015,4,1.95424250943932,2.02857142857143,2.09090909090909,2.5,-0.212603118440449,0.091937017057726,-0.092832676270994,3.76395182603332,3.56276854301652
king-tokyo,7.29932,2011,6,1.47712125471966,1.22522522522523,1.99330357142857,1.5097,-0.301163559748365,0.31434185433137,0.877619500697071,4.72133238084267,4.57422810328016
civilization,7.52205,1980,7,2.55630250076729,1.09459459459459,1.43835616438356,3.6671,-1.67352878775147,0.10393584475247,0.059272828353246,3.92412415318582,3.79399980098447
deception-murder-hong-kong,7.56094,2014,12,1.30102999566398,1,1,1.624,-0.385309890120143,-0.197001483907866,0.91368115019242,3.89602991239623,3.69879625179043
tikal,7.34412,1999,4,1.95424250943932,1.89304812834225,2.33333333333333,2.8342,-0.205486649363415,-3.57624812793057,-0.576261665981937,4.22055261986635,4.14163787467327
indonesia,7.77503,2005,5,2.38021124171161,1.31147540983607,2.15789473684211,3.9915,-0.478955648921935,-0.5275366384425,1.8938024379807,3.52309583825257,3.44075170047919
sheriff-nottingham,7.34054,2014,5,1.77815125038364,1.03571428571429,1.60952380952381,1.673,-2.39087872839244,0.748002053523988,-2.00611891122276,4.3964783222021,4.20030318298159
kanban-automotive-revolution,7.78425,2014,4,2.07918124604762,2.14583333333333,2.55555555555556,4.2961,-0.385309890120143,-0.197001483907866,0.91368115019242,3.6238692683503,3.462248215355
telestrations,7.44071,2009,8,1.47712125471966,1.02816901408451,1.02816901408451,1.1053,-0.385309890120143,-0.197001483907866,0.91368115019242,3.99947853367931,3.84726410177076
san-juan,7.29546,2004,4,1.77815125038364,2.22264150943396,2.58984375,2.2916,-1.57988302894968,0.434470999287104,-0.920848459435033,4.30700370116316,4.27710472728385
saint-petersburg,7.33363,2004,4,1.77815125038364,2.28181818181818,2.26923076923077,2.472,-2.01238660649954,-0.122879367242378,-1.24719064256282,4.02694162795903,4.09701423117803
survive-escape-atlantis,7.32669,1982,4,1.77815125038364,1.52439024390244,2.01657458563536,1.7134,3.04857775891221,-1.22249412592518,-1.29409119827331,4.29955087849902,4.1465931020963
arkham-horror,7.34629,2005,8,2.38021124171161,1.9622641509434,2.28727770177839,3.5482,1.12429061508107,1.97080096238482,0.043776291085665,4.58811477209766,4.48333049525732
ticket-ride-marklin,7.41352,2006,5,1.77815125038364,1.79012345679012,2.27058823529412,2.2386,-2.39087872839244,0.748002053523988,-2.00611891122276,3.97547776316587,3.89114703044877
few-acres-snow,7.44271,2011,2,2.07918124604762,2.92307692307692,0,3.032,-1.66844347025759,0.656875836560748,0.049603717533032,3.91115760873998,3.79989168465687
pillars-earth,7.31817,2006,4,2.07918124604762,1.775,2.27906976744186,2.8364,-0.385309890120143,-0.197001483907866,0.91368115019242,4.16491766610096,4.12192078556304
onitama,7.64032,2014,2,1.47712125471966,2.94736842105263,0,1.6897,0.938775734588195,-1.02277506522166,-0.336398300441757,3.84060787900929,3.58849580100721
one-night-ultimate-werewolf,7.355,2014,10,1,1.00980392156863,1.28688524590164,1.4083,0.513994948357637,0.571572103081468,0.733617045241507,4.27172546949024,4.06848271376175
blood-bowl-team-manager-card-game,7.3877,2011,4,1.95424250943932,1.99285714285714,2.20740740740741,2.3244,-0.679655681641261,1.18522327509774,0.11869123203713,4.04064189154454,3.91708519064057
macao,7.43936,2009,4,2,2.1743119266055,2.55769230769231,3.1331,-1.40209093977611,1.27634949206097,-1.93703139671866,3.77880220401324,3.76648720623969
gates-loyang,7.38822,2009,4,2.07918124604762,2.66304347826087,1.8868778280543,3.1453,-2.01238660649954,-0.122879367242378,-1.24719064256282,3.95913683117037,3.86201205125022
